STATE,ST_CASE,DAY,MONTH,HOUR,MINUTE,AGE,SEX,PER_TYP,INJ_SEV
1,10227,11,4,11,0,32,1,1,0
1,10227,11,4,11,0,998,1,2,0
1,10228,12,4,14,45,71,1,1,4
1,10229,12,4,14,37,72,1,1,3
1,10229,12,4,14,37,56,2,2,3
1,10229,12,4,14,37,75,1,1,4
1,10229,12,4,14,37,73,2,2,4
1,10230,13,4,2,20,27,2,1,0
1,10230,13,4,2,20,41,1,1,4
1,10230,13,4,2,20,36,2,2,0
1,10231,13,4,21,58,61,1,1,4
1,10232,13,4,23,0,55,2,1,4
1,10232,13,4,23,0,24,2,1,0
1,10232,13,4,23,0,32,1,1,0
1,10233,14,4,23,0,61,1,1,4
1,10234,14,4,14,53,28,1,1,2
1,10234,14,4,14,53,27,1,2,3
1,10234,14,4,14,53,35,1,2,4
1,10235,14,4,20,15,38,1,1,4
1,10236,14,4,21,45,66,1,1,4
1,10237,15,4,5,50,52,1,1,4
1,10237,15,4,5,50,46,1,2,3
1,10238,15,4,5,55,26,1,1,4
1,10239,16,4,7,20,79,1,1,4
1,10239,16,4,7,20,56,2,1,2
1,10240,16,4,14,45,70,1,1,4
1,10240,16,4,14,45,18,1,1,2
1,10241,16,4,22,43,63,1,1,4
1,10242,16,4,23,32,39,1,1,0
1,10242,16,4,23,32,998,2,2,0
1,10242,16,4,23,32,54,1,1,4
1,10243,19,4,13,4,80,1,1,4
1,10244,20,4,8,35,31,1,1,2
1,10244,20,4,8,35,56,1,2,4
1,10245,21,4,0,20,43,1,1,4
1,10246,22,4,11,55,25,1,1,3
1,10246,22,4,11,55,27,2,2,3
1,10246,22,4,11,55,1,1,2,3
1,10246,22,4,11,55,52,2,1,4
1,10247,22,4,11,3,43,1,1,4
1,10247,22,4,11,3,32,2,1,1
1,10248,17,2,12,39,45,2,1,2
1,10248,17,2,12,39,23,1,2,0
1,10248,17,2,12,39,36,1,1,4
1,10248,17,2,12,39,37,2,2,1
1,10248,17,2,12,39,16,2,2,3
1,10248,17,2,12,39,5,2,2,4
1,10248,17,2,12,39,14,1,2,3
1,10249,29,4,4,42,18,1,1,4
1,10249,29,4,4,42,17,1,2,4
1,10249,29,4,4,42,18,1,2,4
1,10250,12,4,8,19,58,1,1,0
1,10250,12,4,8,19,27,1,2,0
1,10250,12,4,8,19,21,1,1,4
1,10251,18,4,15,36,22,1,1,2
1,10251,18,4,15,36,18,2,1,3
1,10251,18,4,15,36,51,2,2,4
1,10252,20,4,15,9,16,1,1,2
1,10252,20,4,15,9,16,1,1,1
1,10252,20,4,15,9,42,2,1,4
1,10252,20,4,15,9,48,1,2,0
1,10253,21,4,8,30,58,1,1,2
1,10253,21,4,8,30,77,1,1,4
1,10254,24,4,13,0,55,1,1,4
1,10255,24,4,7,53,42,1,1,4
1,10256,27,4,4,48,28,1,1,4
1,10256,27,4,4,48,44,1,1,4
1,10256,27,4,4,48,50,2,1,0
1,10256,27,4,4,48,998,1,2,0
1,10257,27,4,22,17,40,1,6,4
1,10257,27,4,22,17,998,9,1,0
1,10258,27,4,6,40,22,2,1,4
1,10258,27,4,6,40,66,1,1,0
1,10258,27,4,6,40,18,1,2,1
1,10258,27,4,6,40,12,2,2,1
1,10259,28,4,18,46,23,1,1,4
1,10260,29,4,1,30,37,1,1,4
1,10260,29,4,1,30,36,1,1,1
1,10260,29,4,1,30,32,2,2,1
1,10261,29,4,10,48,9,1,10,9
1,10261,29,4,10,48,24,1,1,4
1,10261,29,4,10,48,32,1,2,3
1,10262,29,4,19,16,59,1,1,4
1,10262,29,4,19,16,998,2,2,3
1,10263,30,4,15,30,54,1,1,4
1,10263,30,4,15,30,64,1,1,0
1,10264,30,4,12,39,35,1,1,4
1,10264,30,4,12,39,46,1,1,0
1,10264,30,4,12,39,71,1,1,0
1,10265,1,5,6,0,70,1,1,4
1,10266,2,5,1,25,57,1,1,4
1,10267,10,5,19,47,28,2,1,4
1,10267,10,5,19,47,6,2,2,2
1,10267,10,5,19,47,81,1,1,2
1,10268,9,5,23,20,32,1,1,4
1,10268,9,5,23,20,57,1,1,0
1,10268,9,5,23,20,55,1,2,0
1,10269,6,5,11,50,50,1,1,2
1,10269,6,5,11,50,66,1,2,4
1,10270,2,5,8,35,76,2,1,4
1,10271,2,5,12,30,998,9,1,0
1,10271,2,5,12,30,47,1,1,4
1,10271,2,5,12,30,43,1,2,1
1,10272,3,5,23,51,31,1,1,4
1,10272,3,5,23,51,33,2,2,3
1,10273,3,5,14,33,33,1,1,4
1,10273,3,5,14,33,46,1,1,0
1,10274,4,5,13,35,48,2,1,4
1,10275,5,5,14,28,21,1,1,2
1,10275,5,5,14,28,51,1,1,4
1,10275,5,5,14,28,22,1,2,2
1,10276,6,5,22,7,61,1,1,0
1,10276,6,5,22,7,998,2,2,0
1,10276,6,5,22,7,61,1,1,4
1,10277,7,5,7,45,66,2,1,4
1,10277,7,5,7,45,17,2,1,2
1,10278,7,5,21,12,30,2,5,4
1,10278,7,5,21,12,32,2,1,0
1,10278,7,5,21,12,25,1,2,0
1,10278,7,5,21,12,10,2,2,0
1,10279,8,5,22,2,65,1,1,4
1,10279,8,5,22,2,36,1,1,3
1,10279,8,5,22,2,27,2,2,3
1,10280,12,5,22,15,18,2,5,4
1,10280,12,5,22,15,65,1,1,0
1,10281,14,5,11,19,65,1,1,4
1,10282,23,5,16,35,41,2,1,4
1,10283,12,5,23,45,54,1,1,4
1,10284,12,5,12,20,19,1,1,4
1,10284,12,5,12,20,33,1,1,2
1,10285,13,5,12,5,28,1,1,4
1,10285,13,5,12,5,56,2,1,0
1,10286,15,5,17,0,25,2,1,4
1,10286,15,5,17,0,59,1,1,3
1,10287,16,5,6,55,27,1,1,4
1,10288,16,5,19,10,36,2,1,4
