STATE,ST_CASE,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LAT,LON
1,10217,6,4,2018,6,5,20,33.81929722,-87.3114
1,10218,6,4,2018,6,15,46,33.87103889,-86.5699
1,10219,6,4,2018,6,20,33,32.53886111,-86.4912
1,10220,6,4,2018,6,22,0,31.86678611,-85.3692
1,10221,6,4,2018,6,22,23,33.85438056,-86.6588
1,10222,8,4,2018,1,18,16,31.97213333,-87.6309
1,10223,9,4,2018,2,14,10,34.10734444,-85.8727
1,10224,9,4,2018,2,19,35,31.138275,-85.65
1,10225,9,4,2018,2,23,10,33.53781111,-86.7564
1,10226,10,4,2018,3,15,55,32.59860278,-86.8159
1,10227,11,4,2018,4,11,0,30.60504722,-88.1637
1,10228,12,4,2018,5,14,45,33.92725,-86.81
1,10229,12,4,2018,5,14,37,33.10420556,-86.0074
1,10230,13,4,2018,6,2,20,34.62795,-86.9118
1,10231,13,4,2018,6,21,58,33.7748,-86.2812
1,10232,13,4,2018,6,23,0,34.87275556,-86.731
1,10233,14,4,2018,7,23,0,33.22169444,-85.5435
1,10234,14,4,2018,7,14,53,31.06288333,-87.4913
1,10235,14,4,2018,7,20,15,33.91604444,-86.61
1,10236,14,4,2018,7,21,45,31.59130278,-85.105
1,10237,15,4,2018,1,5,50,32.04246944,-86.3843
1,10238,15,4,2018,1,5,55,32.04247778,-86.3843
1,10239,16,4,2018,2,7,20,31.18753611,-85.2757
1,10240,16,4,2018,2,14,45,32.50788056,-87.5287
1,10241,16,4,2018,2,22,43,32.83116111,-86.6958
1,10242,16,4,2018,2,23,32,34.589375,-86.4516
1,10243,19,4,2018,5,13,4,34.83906667,-87.6828
1,10244,20,4,2018,6,8,35,34.21685833,-85.8977
1,10245,21,4,2018,7,0,20,34.68603611,-87.6022
1,10246,22,4,2018,1,11,55,34.20295556,-87.0196
1,10247,22,4,2018,1,11,3,31.45677778,-88.1953
1,10248,17,2,2018,7,12,39,32.79848056,-85.6882
1,10249,29,4,2018,1,4,42,33.45201667,-86.8109
1,10250,12,4,2018,5,8,19,31.80708611,-86.6114
1,10251,18,4,2018,4,15,36,31.93039167,-87.7384
1,10252,20,4,2018,6,15,9,31.46413611,-87.4167
1,10253,21,4,2018,7,8,30,33.47503611,-88.2474
1,10254,24,4,2018,3,13,0,32.90470556,-86.6476
1,10255,24,4,2018,3,7,53,33.68043889,-88.0365
1,10256,27,4,2018,6,4,48,31.67563889,-87.7435
1,10257,27,4,2018,6,22,17,34.41618333,-88.1366
1,10258,27,4,2018,6,6,40,33.304825,-86.8392
1,10259,28,4,2018,7,18,46,34.80314722,-85.6045
1,10260,29,4,2018,1,1,30,32.26946389,-86.5455
1,10261,29,4,2018,1,10,48,32.29524722,-87.7954
1,10262,29,4,2018,1,19,16,33.57491944,-87.1405
1,10263,30,4,2018,2,15,30,33.79804722,-86.2422
1,10264,30,4,2018,2,12,39,33.34913333,-86.6245
1,10265,1,5,2018,3,6,0,31.42266944,-86.6459
1,10266,2,5,2018,4,1,25,32.47035278,-85.0977
1,10267,10,5,2018,5,19,47,33.91221667,-86.5105
1,10268,9,5,2018,4,23,20,33.70275278,-87.1372
1,10269,6,5,2018,1,11,50,32.99331111,-87.7784
1,10270,2,5,2018,4,8,35,34.29195278,-86.25
1,10271,2,5,2018,4,12,30,30.74757778,-88.1127
1,10272,3,5,2018,5,23,51,34.79648611,-86.6168
1,10273,3,5,2018,5,14,33,30.8027,-88.1508
1,10274,4,5,2018,6,13,35,34.11276944,-85.9544
1,10275,5,5,2018,7,14,28,33.87855278,-87.7421
1,10276,6,5,2018,1,22,7,34.81925,-87.6569
1,10277,7,5,2018,2,7,45,34.89316111,-87.4736
1,10278,7,5,2018,2,21,12,34.76704722,-86.554
1,10279,8,5,2018,3,22,2,30.69968333,-88.0644
1,10280,12,5,2018,7,22,15,33.52083889,-86.8406
1,10281,14,5,2018,2,11,19,30.68639167,-88.0411
1,10282,23,5,2018,4,16,35,33.59221389,-86.4217
1,10283,12,5,2018,7,23,45,31.85356944,-86.6833
1,10284,12,5,2018,7,12,20,32.91409722,-87.9975
1,10285,13,5,2018,1,12,5,34.80810278,-86.7706
1,10286,15,5,2018,3,17,0,31.02248611,-87.5305
1,10287,16,5,2018,4,6,55,32.14605278,-85.6337
1,10288,16,5,2018,4,19,10,33.20336944,-87.5761
1,10289,17,5,2018,5,2,55,30.690225,-88.164
1,10290,19,5,2018,7,15,49,34.37630278,-86.2891
1,10291,20,5,2018,1,14,24,34.35835278,-86.5294
1,10292,21,5,2018,2,13,17,34.62506111,-85.7542
1,10293,22,5,2018,3,8,0,33.57122222,-86.7226
1,10294,22,5,2018,3,11,40,31.54755,-87.1898
1,10295,24,5,2018,5,17,25,32.30038611,-86.3497
1,10296,25,5,2018,6,10,45,33.45831667,-86.027
1,10297,27,1,2018,7,11,20,33.10097778,-88.1397
1,10298,1,2,2018,5,13,5,32.23638611,-86.3461
1,10299,21,1,2018,1,3,30,33.23793611,-87.143
1,10300,14,6,2018,5,15,22,34.4371,-86.9006
1,10301,6,6,2018,4,14,30,33.84959444,-86.828
1,10302,4,6,2018,2,3,45,33.24988056,-87.1341
1,10303,4,6,2018,2,0,29,33.70242222,-87.1363
1,10304,3,6,2018,1,23,24,30.96468611,-87.7597
1,10305,31,5,2018,5,9,43,31.15400556,-87.3869
1,10306,29,5,2018,3,7,25,34.03112222,-86.8718
1,10307,24,4,2018,3,7,30,31.41618333,-86.4846
1,10308,26,4,2018,5,20,25,34.87319167,-87.5969
1,10309,16,5,2018,4,11,18,32.46734167,-87.594
1,10312,19,5,2018,7,19,50,30.47253889,-88.31
1,10313,20,5,2018,1,14,0,33.56725556,-85.8125
1,10314,22,5,2018,3,16,45,33.27579444,-87.2146
1,10315,23,5,2018,4,10,50,31.86167778,-86.72
1,10316,23,5,2018,4,22,0,32.63565,-86.3192
1,10317,23,5,2018,4,16,30,31.85893333,-85.166
1,10318,25,5,2018,6,12,55,31.50009444,-87.3954
1,10319,25,5,2018,6,17,10,33.26244722,-86.3075
1,10320,27,5,2018,1,16,35,34.39547222,-86.0085
1,10321,27,5,2018,1,20,0,32.87603333,-86.1168
1,10322,27,5,2018,1,23,3,33.26733611,-85.8365
1,10323,28,5,2018,2,0,9,33.41441111,-86.667
1,10324,28,5,2018,2,17,48,33.97438611,-86.4466
